,HexId,HexLevel,AverageMotorVehicles,AreaConnectorCount,AreaStationCount,CentroidCoor,KNumber
203,871958760ffffff,7,3251.9699074074074,0.0,0.0,"[51.47910670610338, -2.651317915864846]",1
204,87195839cffffff,7,3722.224537037037,0.0,0.0,"[51.43151627916393, -2.519990849673848]",1
205,871958393ffffff,7,25984.858333333334,50.0,23.0,"[51.44666013436594, -2.5746790238668473]",0
206,8719582b3ffffff,7,0.0,0.0,0.0,"[51.35113985355713, -2.596769376024154]",1
207,871958776ffffff,7,0.0,0.0,0.0,"[51.50927296247007, -2.7610162440876214]",1
208,871958622ffffff,7,0.0,0.0,0.0,"[51.46105246252497, -2.914623080214344]",4
209,871958654ffffff,7,471.60069444444446,0.0,0.0,"[51.333061536523, -2.8593994548202857]",4
210,87195866effffff,7,0.0,0.0,0.0,"[51.305268133875046, -2.717091833576155]",3
211,871958729ffffff,7,0.0,0.0,0.0,"[51.52882101941251, -2.750052346211604]",2
212,87195872bffffff,7,0.0,0.0,0.0,"[51.52657745600538, -2.7829948385613075]",2
213,87195861cffffff,7,0.0,0.0,0.0,"[51.399942342890164, -2.9802433857599304]",8
214,8719582abffffff,7,0.0,0.0,0.0,"[51.28395811525032, -2.4768252872960503]",1
215,87195838effffff,7,0.0,0.0,0.0,"[51.416351331109944, -2.4653545484276247]",1
216,871958652ffffff,7,12.75,0.0,0.0,"[51.31114163879107, -2.9031442861647894]",6
217,8719583a2ffffff,7,0.0,0.0,0.0,"[51.49223529660616, -2.4540831080084504]",1
218,871958671ffffff,7,2219.7973484848485,0.0,0.0,"[51.33763990291234, -2.7937075073441346]",2
219,871958285ffffff,7,0.0,0.0,0.0,"[51.31866454486521, -2.5203625056354286]",1
220,87195870effffff,7,0.0,0.0,0.0,"[51.52206079765556, -2.848897068239474]",3
221,8719582aaffffff,7,0.0,4.0,2.0,"[51.301313245034116, -2.498585537538373]",0
222,87195860bffffff,7,3543.509722222222,0.0,0.0,"[51.34805975097674, -2.9142260933218735]",5
223,871958633ffffff,7,0.0,0.0,0.0,"[51.45644048667594, -2.980506405012622]",6
224,871958750ffffff,7,5.208333333333333,0.0,0.0,"[51.45059155708466, -2.7938689620853387]",1
225,871958212ffffff,7,0.0,0.0,0.0,"[51.34258958628661, -2.443826867181834]",3
226,8719582b0ffffff,7,0.0,0.0,0.0,"[51.370695356213496, -2.5857938467996546]",1
227,87195874cffffff,7,677.9097222222222,0.0,0.0,"[51.40313624766031, -2.6623449203438727]",2
228,871958651ffffff,7,0.0,0.0,0.0,"[51.29614157532813, -2.8483599959514714]",5
229,87195838bffffff,7,0.0,0.0,0.0,"[51.37947561981094, -2.4545833972568674]",2
230,871958624ffffff,7,0.0,0.0,0.0,"[51.482922246335086, -2.870765446513369]",3
231,87195865cffffff,7,0.0,0.0,0.0,"[51.27882766014854, -2.8264381693802485]",5
232,871958388ffffff,7,0.0,0.0,0.0,"[51.39900073433518, -2.443566660281777]",2
233,871958604ffffff,7,0.0,0.0,0.0,"[51.441461658523586, -2.9255322182396775]",5
234,8719582a0ffffff,7,0.0,0.0,0.0,"[51.357757833775544, -2.498378763648629]",3
235,871958711ffffff,7,0.0,0.0,0.0,"[51.55436182958827, -2.9259519864881676]",6
236,87195872dffffff,7,0.0,0.0,0.0,"[51.54836286422452, -2.7390819440996927]",3
237,871958666ffffff,7,328.38368055555554,5.0,3.0,"[51.35950007481507, -2.749938199202967]",0
238,871958668ffffff,7,0.0,0.0,0.0,"[51.28793917424222, -2.6952278356467754]",4
239,87195839bffffff,7,0.0,0.0,0.0,"[51.3924483350548, -2.5419917170054585]",2
240,871958719ffffff,7,0.0,0.0,0.0,"[51.500215482891726, -2.8927853585633714]",4
241,87195875affffff,7,300.47916666666663,0.0,0.0,"[51.39413037641751, -2.7937881559923414]",2
242,8719580ccffffff,7,0.0,4.0,2.0,"[51.53989140281441, -2.5854269193380985]",0
243,8719582b6ffffff,7,0.0,0.0,0.0,"[51.388031227782214, -2.607637816063008]",1
244,8719582a5ffffff,7,0.0,0.0,0.0,"[51.3599443097767, -2.4655936485588525]",3
245,871958294ffffff,7,0.0,0.0,0.0,"[51.34891432397907, -2.6295779361147065]",1
246,8719580e9ffffff,7,0.0,0.0,0.0,"[51.54425085898287, -2.5196177418059045]",1
247,8719583b4ffffff,7,0.0,0.0,0.0,"[51.526916230345925, -2.4977560195748882]",1
248,871958774ffffff,7,0.0,0.0,0.0,"[51.51151273241435, -2.7280883269470912]",1
249,8719586ecffffff,7,0.0,0.0,0.0,"[51.29151947773667, -2.914028179800889]",7
250,871958744ffffff,7,2.5833333333333335,0.0,0.0,"[51.4573357633895, -2.695181650194229]",2
251,871958396ffffff,7,660.5686507936508,10.0,4.0,"[51.48352207484178, -2.58554946720743]",0
252,871958728ffffff,7,0.0,0.0,0.0,"[51.54612534325637, -2.772033249048014]",3
253,8719582acffffff,7,0.0,0.0,0.0,"[51.323051946777944, -2.4548328119579006]",2
254,871958641ffffff,7,0.0,0.0,0.0,"[51.2834029935212, -2.760821562150525]",4
255,87195839dffffff,7,0.0,7.0,3.0,"[51.41417325198875, -2.4981715868115715]",0
256,871958385ffffff,7,0.0,0.0,0.0,"[51.45538266056719, -2.443305946055979]",2
257,8719586e1ffffff,7,10.208333333333334,0.0,0.0,"[51.308821888373366, -2.9359956292466465]",7
258,8719583b0ffffff,7,0.0,5.0,2.0,"[51.50741035164071, -2.508783504552827]",0
259,8719583b6ffffff,7,0.0,0.0,0.0,"[51.52474514383215, -2.530643017491966]",1
260,871958713ffffff,7,0.0,0.0,0.0,"[51.55207119304787, -2.9589464577636644]",7
