,HexId,HexLevel,AverageMotorVehicles,AreaConnectorCount,AreaStationCount,CentroidCoor,KNumber,AverageMotorVehiclesPerHex,IniCostHardwareCost,IniCostInstallationCost,IniGridReinforcementCost,DailyDemandPerStation,DailyElectricityCost,DailyEstimatedRevenue,MonthlyEstimatedRevenue,MonthlyElectricityCost,MonthlyMaintenanceCost
82,871958676ffffff,7,0.0,0.0,0.0,"[51.37226294588363, -2.837581828473151]",3,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
83,8719582a0ffffff,7,0.0,0.0,0.0,"[51.357757833775544, -2.498378763648629]",3,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
84,87195876cffffff,7,721.6593565372799,68.0,39.0,"[51.44445504891417, -2.6075370028861404]",0,437.3657218138055,1000,400,0,0.7744167253626556,1.3499012823141523,20.134834859429045,604.0450457828714,40.49703846942457,300
85,871958645ffffff,7,0.0,0.0,0.0,"[51.303001185026254, -2.74990029835998]",3,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
86,871958652ffffff,7,12.75,0.0,0.0,"[51.31114163879107, -2.9031442861647894]",6,437.3657218138055,1000,400,500000,0.01368209690476561,0.02384953675663503,0.35573451952390583,10.672035585717175,0.7154861026990509,300
87,8719582a9ffffff,7,0.0,0.0,0.0,"[51.28614930315146, -2.4440865682355226]",2,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
88,871958284ffffff,7,0.0,0.0,0.0,"[51.336012003903, -2.5421562045614032]",2,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
89,8719586e8ffffff,7,0.0,0.0,0.0,"[51.271891152372795, -2.9249056309798327]",8,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
90,87195861dffffff,7,0.0,0.0,0.0,"[51.382652117511725, -2.958220800846405]",7,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
91,871958389ffffff,7,0.0,0.0,0.0,"[51.381646293549785, -2.421795538902217]",3,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
92,871958774ffffff,7,0.0,0.0,0.0,"[51.51151273241435, -2.7280883269470912]",1,437.3657218138055,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
93,8719583b3ffffff,7,89.42909722222223,4.0,2.0,"[51.487898256577076, -2.519804477759401]",0,437.3657218138055,1000,400,0,0.09596686857256073,0.16728176794620206,2.495138582886579,74.85415748659736,5.0184530383860615,300
94,87195805affffff,7,0.0,0.0,0.0,"[51.54641588889488, -2.486722017870339]",2,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
95,87195862affffff,7,0.0,0.0,0.0,"[51.40687022681826, -2.8815233645158003]",5,437.3657218138055,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
